,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
60,SG_60,4/19/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,63,NA,NA,1897.95621,1.09626019,0.474319666,0.000706502,1.00E-05,1,0.000858191,1.017563059,0.00089286,1.027629483,48.89498952,1.020452084,NA,8.12,19.1,2.4,0.1,24,NA
63,SG_63,4/23/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,67,NA,NA,3444.1035,1.20805976,0.730033046,0.000397646,1.00E-05,1,0.004078702,1.075492202,0.004168667,1.046746289,299.1334819,1.040260514,NA,8.06,19.6,2.14,0.04,24,NA
64,SG_64,4/26/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,51441.2252,1.02473728,0.773039224,2.57E-05,0.006392519,1.518882126,0.00747064,1.039799507,0.001078121,1.107167511,15.79873413,3.932202251,NA,7.82,NA,1.25,0.15,70,9.43
65,SG_65,4/26/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,exclude,NA,4678.56911,1.20523175,0.64686225,0.000314928,1.00E-05,1,0.000848483,1.027491968,0.000841184,1.109919915,4.1,1,NA,7.72,NA,2.115,0.105,50.61,NA
66,SG_66,4/26/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,NA,NA,NA,27884.377,1.04617258,0.767435335,4.75E-05,0.002908118,1.501453305,0.003643559,1.040992526,0.000735441,1.081987332,130.3654862,1.033076589,NA,NA,NA,0.89,0.07,289.38,NA
69,SG_69,4/26/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,3314.02306,1.32975897,1.03189247,0.000647715,3.15E-05,1.496455806,0.000705504,1.094530142,0.000674019,1.020482115,1299.7,1,NA,8.12,19.1,2.4,0.1,24,NA
70,SG_70,2/3/16,DWDS_D,2016,site_D1,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,380.19704,1.15856854,0.375382723,0.003139063,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.01,19,NA,0.96,NA,NA
71,SG_71,2/3/16,DWDS_D,2016,site_D2,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,100.692682,1.49333784,0.124920107,0.014930521,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98,20.9,NA,1.38,NA,NA
72,SG_72,2/3/16,DWDS_D,2016,site_D3,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,325.400935,1.43881251,0.376050751,0.004540143,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,15.7,NA,0.96,NA,NA
73,SG_73,2/3/16,DWDS_D,2016,site_D4,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,320.831875,1.16443526,0.451351734,0.004103891,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,18.7,NA,1.43,NA,NA
